first_name,last_name,score,style,YOE,IDE,Programming language,location,Number of github repos contributed to,Employer,OS,job title,age
Kane,Duran ,1,tabs,5,Intellij,PHP,Antarctica,3,Instagram,Linux,Distinguished Engineer,28.9
Israel,Briggs ,1,tabs,5,Vim,C,Asia,0,Facebook,Windows,SWE 2,31.2
Violet,Rowe ,9,tabs,9,Visual Studio,PHP,Asia,5,Instagram,Linux,Principal Engineer,29.9
Richard,Davila ,7,tabs,8,VSCode,PHP,Asia,4,Apple,Linux,Principal Engineer,28.9
Astrid,Carter ,4,tabs,7,XCode,C++,Antarctica,0,Spotify,Windows,SWE 1,31.9
Isabella,Shepherd ,7,spaces,17,Intellij,Python,Antarctica,0,Uber,MacOS,Senior Engineer,31.2
Penelope,Cannon ,8,tabs,8,VSCode,C,Asia,0,Instagram,Windows,SWE 1,30.4
Lexi,Aguirre ,5,spaces,14,XCode,Javascript,Antarctica,1,Instagram,Linux,Principal Engineer,34.2
Axel,Rodriguez ,6,tabs,8,Emacs,Java,Asia,1,Amazon,Windows,SWE 2,31.3
Richard,Orozco ,2,spaces,16,Visual Studio,Python,Antarctica,2,Uber,MacOS,Principal Engineer,29.4
Emma,Arroyo ,1,tabs,7,Eclipse,Java,Europe,0,Snapchat,Linux,Distinguished Engineer,31.3
Paisley,Frye ,6,spaces,14,Visual Studio,Javascript,Antarctica,3,Spotify,MacOS,Principal Engineer,29.3
Noelle,Finley ,4,spaces,13,Visual Studio,GO,Asia,0,Twitter,MacOS,Senior Engineer,34.3
Joy,Hunt ,2,tabs,7,pyCharm,Java,Asia,0,Netflix,Windows,Senior Engineer,30.6
Collins,Christensen ,2,tabs,6,Eclipse,Java,Europe,0,Uber,Linux,Distinguished Engineer,30.6
Finley,Ashley ,8,spaces,16,Visual Studio,Python,Antarctica,0,Facebook,Windows,Senior Engineer,31.6
Troy,Jimenez ,6,spaces,15,Eclipse,C#,Asia,0,Instagram,Linux,Principal Engineer,32.8
Christian,Beil ,5,spaces,15,VSCode,Swift,Asia,4,Facebook,Windows,SWE 2,32.3
Cali,Norris ,1,spaces,15,Emacs,C++,Africa,1,Facebook,MacOS,Senior Engineer,29.3
Jordyn,Calderon ,2,tabs,5,Emacs,C,Africa,0,Apple,Linux,Distinguished Engineer,29.6
Noel,Brooks ,2,tabs,7,XCode,PHP,Africa,2,Instagram,Windows,SWE 2,31.4
Faith,Swanson ,6,tabs,7,Visual Studio,C#,North America,0,Amazon,Windows,SWE 2,30.9
Audrey,Blackburn ,2,tabs,6,Intellij,C#,Africa,0,Facebook,Windows,SWE 2,30.4
Lewis,Hamilton ,7,tabs,6,VSCode,GO,Asia,0,Amazon,Windows,SWE 2,29.2
Esmeralda,Strong ,5,spaces,17,VSCode,Java,Europe,0,Instagram,Windows,SWE 1,35.8
Nina,Ware ,2,tabs,8,VSCode,R,Asia,4,Facebook,Windows,SWE 2,29.6
Leonidas,Velasquez ,9,spaces,15,Eclipse,Javascript,Antarctica,0,Apple,Linux,Principal Engineer,32.2
